"SAT","Years","Public","Expend","Rank",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid","obs_num"
1088,16.79,87.8,25.6,89.7,1059.33173301865,28.6682669813545,0.100456802381605,25.8193430879837,0.0303610232752721,1.16590869557069,1
1075,16.07,86.2,19.95,90.6,1040.97024647375,34.0297535262534,0.0787771001966362,25.667761064999,0.0319864739997885,1.3675731133423,2
1068,16.57,88.3,20.62,89.8,1044.02087585449,23.9791241455146,0.0894181187592528,25.9432433479825,0.0184515295687934,0.969277043222771,3
1045,16.3,83.9,27.14,86.3,1020.63556118735,24.3644388126545,0.0585306463551524,25.9436512762065,0.0116643889237527,0.968562012616552,4
1045,17.25,83.6,21.05,88.5,1049.98604018586,-4.98604018585843,0.113197170439045,26.2062237351388,0.00106480774445241,-0.204228502217271,5
1033,15.91,93.7,29.48,86.4,1011.83880829386,21.161191706135,0.0936188482264698,26.0033637885714,0.0151844836057655,0.857351282153251,6
1028,17.41,78.3,24.84,83.4,1014.48630284719,13.5136971528143,0.0877452001162305,26.1314682288795,0.00572951208867263,0.545745566593174,7
1022,16.57,75.2,17.42,85.9,1006.53102199342,15.4689780065783,0.0530637848848656,26.1086221804354,0.00421364784525051,0.613162197201875,8
1017,16.01,97,25.96,87.5,1014.95023478986,2.04976521014146,0.0999095063165851,26.216353850053,0.000154177471923653,0.0833364782002947,9
1011,16.85,77.3,27.69,84.2,1017.28264081429,-6.28264081428847,0.0648935419395162,26.2000756102149,0.000871649831239707,-0.250602740563,10
1001,15.95,74.2,20.07,85.6,996.562117316541,4.43788268345929,0.0615670578402899,26.209279327126,0.00040970547462315,0.176704784209614,11
999,15.49,86.4,15.71,89.2,1004.63201582641,-5.63201582641011,0.0997672913494625,26.2031010560528,0.00116194229206783,-0.228960510794836,12
999,15.72,61.2,14.58,83.4,965.843103238171,33.1568967618293,0.177946383539604,25.6321829515539,0.0861419806535235,1.41058063652495,13
997,15.92,79.5,22.19,83.7,978.133530489865,18.8664695101352,0.0359223329448365,26.0578633577623,0.00409354893557778,0.741154482818677,14
995,16.18,92.1,17.8,85.9,987.627371512307,7.37262848769251,0.0888114318039662,26.1925091391554,0.00173011618323417,0.297914973441614,15
988,16.76,67.9,15.36,90.1,1052.9314684994,-64.9314684993981,0.115631048235537,24.0635502958062,0.185479604088312,-2.6632540397738,16
